depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium,darkas
51.0,12.53,33.082,5.71,94.3,3.1,2.7,0.17,51,0.54,0.13,25.001,296.0,0.157,0.0,0.02
74.0,12.03,33.182,5.46,89.2,4.5,5.1,0.08,74,0.66,0.08,25.174,280.1,0.223,0.0,0.01
0.0,13.56,33.487,6.14,103.8,4.2,2.0,0.99,0,0.47,0.23,25.109,284.4,0.0,0.05,0.07
1.0,13.56,33.487,6.14,103.8,4.2,2.0,0.99,1,0.47,0.23,25.109,284.4,0.003,0.05,0.07
10.0,13.38,33.491,6.07,102.3,4.9,3.3,0.81,10,0.54,0.3,25.149,280.9,0.028,0.04,0.06
12.0,13.24,33.497,6.05,101.7,5.1,3.8,0.76,12,0.57,0.32,25.182,277.8,0.034,0.04,0.06
20.0,12.99,33.511,5.87,98.1,5.8,5.2,0.74,20,0.67,0.41,25.243,272.2,0.056,0.04,0.05
29.0,12.76,33.534,5.69,94.7,7.1,6.9,0.71,29,0.83,0.48,25.306,266.4,0.08,0.04,0.04
30.0,12.53,33.545,5.4,89.4,8.2,8.5,0.63,30,0.93,0.45,25.359,261.4,0.083,0.03,0.04
42.0,11.23,33.607,3.78,60.9,15.0,17.2,0.14,42,1.48,0.21,25.651,233.9,0.112,0.0,0.01
50.0,10.81,33.656,3.63,58.0,16.8,18.8,0.07,50,1.59,0.14,25.764,223.2,0.13,0.0,0.01
57.0,10.59,33.672,3.58,56.9,17.6,19.6,0.05,57,1.62,0.13,25.815,218.5,0.146,0.0,0.02
75.0,9.98,33.793,3.25,51.0,21.3,21.8,0.01,75,1.76,0.12,26.015,199.9,0.184,0.0,0.01
82.0,9.87,33.812,3.11,48.7,23.0,22.9,0.01,82,1.83,0.08,26.048,196.9,0.197,0.0,0.01
0.0,12.62,33.064,6.19,102.4,3.7,1.8,0.57,0,0.5,0.14,24.968,297.8,0.0,0.08,0.04
1.0,12.62,33.064,6.19,102.4,3.7,1.8,0.57,1,0.5,0.14,24.968,297.8,0.003,0.08,0.04
13.0,12.6,33.065,6.19,102.3,3.6,1.9,0.64,13,0.49,0.17,24.973,297.7,0.039,0.05,0.04
20.0,12.59,33.076,6.15,101.7,3.6,1.8,0.68,20,0.5,0.2,24.984,296.8,0.06,0.1,0.03
30.0,12.57,33.09,6.1,100.8,3.7,2.0,0.59,30,0.52,0.25,24.999,295.7,0.089,0.18,0.02
