depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium
140.0,9.75,33.805,3.11,48.6,24.4,23.2,0.0,141,1.79,0.02,26.064,196.6,0.373,0.0
150.0,9.56,33.882,2.9,45.1,26.6,24.3,0.0,151,1.87,0.02,26.155,188.1,0.392,0.0
170.0,9.32,33.977,2.54,39.3,30.4,26.1,0.0,171,2.01,0.02,26.269,177.7,0.429,0.0
200.0,9.09,34.032,2.34,36.1,32.9,27.4,0.0,201,2.09,0.01,26.35,170.6,0.481,0.0
0.0,14.06,33.179,5.95,101.5,3.2,0.9,0.73,0,0.44,0.21,24.768,316.8,0.0,0.0
3.0,14.06,33.179,5.95,101.5,3.2,0.9,0.73,3,0.44,0.21,24.768,316.9,0.01,0.0
10.0,13.97,33.21,5.91,100.6,3.3,1.0,0.76,10,0.45,0.24,24.811,313.0,0.032,0.0
20.0,13.76,33.19,5.92,100.4,3.4,1.1,0.73,20,0.46,0.28,24.839,310.6,0.063,0.0
22.0,13.76,33.192,5.92,100.4,3.4,1.1,0.72,22,0.46,0.28,24.841,310.5,0.069,0.0
30.0,13.75,33.19,5.9,100.0,3.3,1.2,0.64,30,0.47,0.24,24.842,310.7,0.094,0.0
33.0,13.75,33.189,5.89,99.8,3.3,1.2,0.59,33,0.47,0.22,24.841,310.8,0.103,0.0
41.0,13.76,33.194,5.86,99.3,3.3,1.3,0.39,41,0.46,0.19,24.843,310.9,0.128,0.07
50.0,13.64,33.194,5.69,96.2,3.5,1.7,0.3,50,0.49,0.15,24.868,308.7,0.156,0.07
60.0,13.12,33.176,5.69,95.2,4.3,3.5,0.16,60,0.61,0.11,24.959,300.3,0.186,0.0
69.0,11.98,33.143,5.46,89.1,6.7,7.2,0.08,69,0.82,0.08,25.153,281.9,0.212,0.0
75.0,11.17,33.149,5.25,84.2,8.3,9.3,0.07,75,0.94,0.07,25.306,267.4,0.229,0.0
85.0,10.85,33.226,4.89,77.9,11.1,12.5,0.05,85,1.14,0.07,25.423,256.5,0.255,0.0
100.0,10.02,33.378,4.44,69.6,16.2,17.4,0.02,100,1.43,0.03,25.684,231.8,0.292,0.0
119.0,9.8,33.684,3.53,55.1,21.9,21.6,0.01,120,1.7,0.02,25.961,206.0,0.333,0.0
125.0,9.79,33.749,3.41,53.3,23.3,22.5,0.01,126,1.75,0.02,26.013,201.1,0.346,0.0
141.0,9.3,33.812,3.26,50.4,26.1,24.3,0.0,142,1.83,0.02,26.143,189.0,0.377,0.0
150.0,9.24,33.84,3.17,49.0,27.1,24.8,0.0,151,1.86,0.02,26.174,186.2,0.394,0.0
170.0,9.03,33.908,3.0,46.1,28.9,25.6,0.0,171,1.92,0.02,26.262,178.3,0.43,0.0
200.0,8.73,33.98,2.77,42.3,32.0,26.8,0.0,201,2.0,0.01,26.365,168.9,0.482,0.0
0.0,13.55,32.968,6.03,101.6,3.6,1.0,0.72,0,0.44,0.15,24.71,322.4,0.0,0.05
2.0,13.55,32.968,6.03,101.6,3.6,1.0,0.72,2,0.44,0.15,24.71,322.4,0.006,0.05
9.0,13.55,33.015,6.04,101.8,3.7,1.0,0.78,9,0.44,0.14,24.746,319.2,0.029,0.06
10.0,13.54,33.018,6.04,101.8,3.7,1.0,0.78,10,0.44,0.15,24.751,318.8,0.032,0.06
20.0,13.46,33.016,6.0,101.0,3.7,1.2,0.74,20,0.44,0.2,24.766,317.6,0.064,0.07
29.0,13.44,33.026,5.94,99.9,3.6,1.4,0.51,29,0.46,0.18,24.778,316.7,0.092,0.12
30.0,13.42,33.028,5.94,99.9,3.6,1.4,0.51,30,0.46,0.18,24.783,316.2,0.096,0.12
41.0,13.34,33.03,5.94,99.7,3.7,1.6,0.46,41,0.47,0.18,24.801,314.8,0.13,0.06
50.0,12.85,33.143,5.8,96.4,4.4,3.4,0.23,50,0.6,0.14,24.986,297.4,0.158,0.06
59.0,12.28,33.157,5.65,92.8,5.5,5.9,0.14,59,0.74,0.12,25.107,286.1,0.184,0.06
69.0,11.5,33.145,5.36,86.6,7.9,9.3,0.09,69,0.95,0.09,25.243,273.3,0.212,0.05
75.0,11.03,33.153,5.25,84.0,9.7,11.2,0.07,75,1.06,0.08,25.334,264.7,0.228,0.03
85.0,9.94,33.119,5.06,79.0,12.9,14.2,0.04,85,1.24,0.06,25.495,249.4,0.254,0.0
99.0,9.59,33.283,4.56,70.7,17.3,18.2,0.02,99,1.47,0.04,25.681,232.0,0.288,0.0
100.0,9.52,33.292,4.52,70.0,17.6,18.5,0.02,100,1.49,0.04,25.7,230.2,0.29,0.0
120.0,9.3,33.56,3.91,60.4,22.3,22.1,0.01,121,1.7,0.03,25.945,207.3,0.334,0.0
125.0,9.26,33.613,3.88,59.9,22.8,22.3,0.01,126,1.69,0.03,25.993,202.9,0.344,0.0
138.0,9.04,33.717,3.84,59.0,24.1,22.5,0.0,139,1.68,0.02,26.11,192.0,0.37,0.0
150.0,8.96,33.827,3.61,55.4,26.6,23.9,0.0,151,1.76,0.02,26.209,182.8,0.392,0.0
169.0,8.55,33.887,3.19,48.5,30.8,26.3,0.0,170,1.92,0.02,26.32,172.5,0.426,0.0
197.0,8.26,33.957,2.92,44.1,34.6,27.9,0.0,198,2.01,0.02,26.419,163.5,0.473,0.0
0.0,14.83,32.961,5.84,101.0,2.1,0.0,0.26,0,0.33,0.08,24.438,348.3,0.0,0.06
2.0,14.83,32.961,5.84,101.0,2.1,0.0,0.26,2,0.33,0.08,24.438,348.4,0.007,0.06
10.0,14.83,32.957,5.84,101.0,2.1,0.0,0.26,10,0.33,0.09,24.435,348.9,0.035,0.0
20.0,14.83,32.959,5.83,100.9,2.0,0.0,0.27,20,0.33,0.08,24.437,349.0,0.07,0.0
26.0,14.83,32.958,5.83,100.9,2.0,0.0,0.27,26,0.33,0.08,24.436,349.2,0.091,0.0
30.0,14.83,32.958,5.83,100.9,2.0,0.0,0.28,30,0.33,0.09,24.436,349.3,0.105,0.0
41.0,14.82,32.959,5.83,100.8,2.1,0.0,0.33,41,0.33,0.1,24.44,349.3,0.143,0.0
50.0,14.7,32.947,5.83,100.6,2.2,0.0,0.4,50,0.33,0.16,24.456,348.0,0.174,0.0
51.0,14.69,32.95,5.83,100.6,2.2,0.0,0.41,51,0.33,0.17,24.461,347.6,0.178,0.0
61.0,13.98,33.007,5.85,99.5,3.1,1.0,0.34,61,0.43,0.2,24.654,329.4,0.212,0.0
74.0,13.22,33.056,5.8,97.1,4.0,2.6,0.14,74,0.56,0.11,24.846,311.4,0.253,0.0
75.0,13.2,33.011,5.8,97.1,4.1,2.8,0.13,75,0.57,0.11,24.815,314.4,0.257,0.0
85.0,12.52,33.144,5.74,94.8,5.1,4.9,0.08,85,0.68,0.09,25.052,292.0,0.287,0.0
100.0,11.34,33.068,5.47,88.0,7.4,8.0,0.05,100,0.86,0.06,25.213,276.8,0.33,0.0
114.0,10.41,33.104,5.26,83.0,9.9,11.1,0.03,115,1.04,0.05,25.405,258.7,0.367,0.0
124.0,10.02,33.197,5.03,78.7,12.4,13.6,0.02,125,1.18,0.04,25.544,245.7,0.392,0.0
125.0,9.99,33.203,5.01,78.3,12.7,13.9,0.02,126,1.2,0.04,25.553,244.8,0.395,0.0
139.0,9.43,33.358,4.67,72.2,17.4,17.5,0.01,140,1.41,0.02,25.767,224.7,0.428,0.0
150.0,9.34,33.541,4.25,65.7,20.9,20.2,0.01,151,1.57,0.02,25.924,209.9,0.451,0.0
173.0,8.97,33.815,3.49,53.6,26.6,24.1,0.0,174,1.79,0.02,26.198,184.3,0.497,0.0
197.0,8.64,33.936,3.43,52.3,29.2,24.6,0.0,198,1.79,0.01,26.345,170.8,0.539,0.0
0.0,15.03,33.024,5.84,101.5,2.2,0.0,0.35,0,0.34,0.09,24.443,347.8,0.0,0.0
3.0,15.03,33.024,5.84,101.5,2.2,0.0,0.35,3,0.34,0.09,24.443,347.9,0.01,0.0
10.0,15.04,33.024,5.84,101.5,2.2,0.0,0.36,10,0.34,0.08,24.441,348.3,0.035,0.0
20.0,15.03,33.029,5.83,101.3,2.2,0.0,0.36,20,0.34,0.09,24.448,348.0,0.07,0.0
30.0,14.98,33.021,5.84,101.4,2.2,0.0,0.37,30,0.33,0.11,24.453,347.8,0.104,0.0
31.0,14.98,33.022,5.84,101.4,2.2,0.0,0.37,31,0.33,0.11,24.453,347.7,0.108,0.0
39.0,14.96,33.022,5.84,101.3,2.1,0.0,0.41,39,0.34,0.1,24.458,347.6,0.136,0.0
50.0,14.93,33.021,5.85,101.4,2.2,0.0,0.41,50,0.34,0.11,24.464,347.3,0.174,0.0
60.0,14.91,33.02,5.82,100.9,2.2,0.0,0.44,60,0.34,0.1,24.468,347.2,0.209,0.0
71.0,14.75,33.005,5.83,100.7,2.3,0.1,0.38,71,0.35,0.16,24.491,345.3,0.247,0.0
75.0,14.67,33.166,5.83,100.7,2.4,0.3,0.31,75,0.36,0.15,24.632,332.0,0.26,0.0
85.0,14.1,33.175,5.8,99.0,2.9,0.8,0.14,85,0.41,0.13,24.76,320.1,0.293,0.0
99.0,11.85,33.013,5.73,93.2,5.0,4.0,0.08,99,0.64,0.09,25.077,289.9,0.336,0.0
100.0,11.8,33.022,5.72,92.9,5.1,4.2,0.08,100,0.65,0.09,25.093,288.3,0.338,0.0
120.0,10.8,33.105,5.39,85.7,8.2,8.8,0.05,121,0.9,0.05,25.338,265.3,0.394,0.0
125.0,10.43,33.163,5.26,83.0,9.8,10.5,0.04,126,1.0,0.04,25.448,254.9,0.407,0.0
140.0,9.56,33.328,4.78,74.1,15.4,15.9,0.01,141,1.32,0.02,25.722,229.0,0.443,0.0
150.0,9.5,33.517,4.22,65.4,19.4,19.5,0.01,151,1.55,0.02,25.88,214.2,0.465,0.0
171.0,9.38,33.745,3.24,50.2,26.2,25.0,0.0,172,1.89,0.02,26.078,195.8,0.508,0.0
200.0,8.81,33.918,3.42,52.3,28.0,24.5,0.0,201,1.78,0.01,26.304,174.7,0.562,0.0
0.0,15.28,33.055,5.76,100.6,2.2,0.0,0.2,0,0.33,0.07,24.413,350.7,0.0,0.0
2.0,15.28,33.055,5.76,100.6,2.2,0.0,0.2,2,0.33,0.07,24.413,350.8,0.007,0.0
10.0,15.28,33.051,5.77,100.8,2.1,0.0,0.2,10,0.33,0.08,24.41,351.3,0.035,0.0
18.0,15.28,33.054,5.77,100.8,2.0,0.0,0.21,18,0.32,0.07,24.412,351.3,0.063,0.0
20.0,15.28,33.05,5.77,100.8,2.0,0.0,0.21,20,0.32,0.07,24.41,351.6,0.07,0.0
28.0,15.27,33.051,5.77,100.8,2.2,0.0,0.2,28,0.33,0.08,24.413,351.6,0.098,0.0
30.0,15.28,33.051,5.77,100.8,2.2,0.0,0.2,30,0.33,0.08,24.411,351.8,0.105,0.0
39.0,15.26,33.049,5.75,100.4,2.1,0.0,0.24,39,0.33,0.1,24.414,351.8,0.137,0.0
48.0,15.27,33.053,5.76,100.6,2.0,0.0,0.3,48,0.32,0.13,24.415,351.9,0.169,0.0
50.0,15.28,33.059,5.76,100.6,2.0,0.0,0.3,50,0.32,0.13,24.417,351.8,0.176,0.0
58.0,15.3,33.067,5.73,100.1,2.1,0.0,0.29,58,0.32,0.13,24.419,351.8,0.204,0.0
74.0,15.2,33.164,5.72,99.8,2.5,0.2,0.17,74,0.36,0.1,24.516,343.1,0.259,0.0
75.0,15.19,33.164,5.73,100.0,2.5,0.2,0.17,75,0.36,0.1,24.519,342.9,0.263,0.0
90.0,13.81,33.115,5.83,98.9,3.2,1.0,0.13,90,0.44,0.14,24.773,318.9,0.313,0.0
100.0,12.8,33.205,5.73,95.2,3.8,2.1,0.09,100,0.49,0.12,25.045,293.1,0.343,0.0
107.0,12.5,33.222,5.63,93.0,4.4,3.1,0.07,107,0.54,0.09,25.117,286.5,0.363,0.0
124.0,11.19,33.133,5.47,87.8,6.7,6.7,0.05,125,0.77,0.06,25.291,270.0,0.411,0.0
125.0,11.04,33.159,5.43,86.9,7.2,7.2,0.05,126,0.8,0.06,25.338,265.5,0.413,0.0
140.0,9.96,33.276,4.77,74.6,14.6,15.6,0.01,141,1.32,0.03,25.616,239.2,0.451,0.0
150.0,9.59,33.37,4.47,69.4,17.7,18.4,0.01,151,1.41,0.03,25.75,226.5,0.475,0.0
171.0,9.15,33.613,4.05,62.3,22.1,21.2,0.0,172,1.61,0.02,26.012,202.0,0.52,0.0
200.0,8.74,33.863,3.67,56.0,27.1,23.7,0.0,201,1.74,0.01,26.272,177.7,0.575,0.0
201.0,8.74,33.864,3.66,55.9,27.3,23.8,0.0,202,1.74,0.01,26.273,177.7,0.576,0.0
0.0,15.76,33.213,5.67,100.1,2.0,0.0,0.19,0,0.36,0.08,24.428,349.2,0.0,0.0
3.0,15.76,33.213,5.67,100.1,2.0,0.0,0.19,3,0.36,0.08,24.428,349.3,0.01,0.0
10.0,15.76,33.216,5.69,100.5,2.0,0.0,0.19,10,0.35,0.08,24.431,349.3,0.035,0.0
20.0,15.76,33.214,5.68,100.3,2.0,0.0,0.22,20,0.34,0.09,24.43,349.7,0.07,0.0
25.0,15.75,33.213,5.67,100.1,2.0,0.0,0.24,25,0.34,0.09,24.431,349.7,0.087,0.0
30.0,15.76,33.214,5.67,100.1,2.0,0.0,0.24,30,0.34,0.08,24.43,350.0,0.105,0.0
44.0,15.76,33.212,5.68,100.3,1.9,0.0,0.23,44,0.34,0.07,24.429,350.5,0.154,0.0
50.0,15.74,33.208,5.67,100.1,2.0,0.0,0.24,50,0.35,0.09,24.431,350.6,0.175,0.0
61.0,15.76,33.211,5.67,100.1,2.0,0.0,0.21,61,0.35,0.08,24.429,351.1,0.214,0.0
75.0,15.74,33.21,5.66,99.9,1.9,0.0,0.27,75,0.34,0.1,24.433,351.1,0.263,0.0
76.0,15.74,33.213,5.66,99.9,1.9,0.0,0.27,76,0.34,0.1,24.435,350.9,0.266,0.0
90.0,15.74,33.208,5.65,99.7,2.0,0.0,0.23,90,0.36,0.09,24.432,351.7,0.315,0.0
98.0,15.27,33.189,5.69,99.4,2.3,0.1,0.15,98,0.38,0.11,24.521,343.3,0.343,0.06
100.0,15.04,33.186,5.7,99.2,2.5,0.3,0.14,100,0.4,0.11,24.569,338.8,0.35,0.06
112.0,12.8,33.069,5.74,95.3,4.1,2.5,0.1,112,0.56,0.11,24.94,303.4,0.389,0.0
125.0,11.39,33.05,5.53,89.1,6.0,5.8,0.04,126,0.75,0.05,25.191,279.6,0.426,0.0
126.0,11.39,33.054,5.51,88.8,6.1,6.1,0.04,127,0.76,0.05,25.194,279.3,0.429,0.0
143.0,11.05,33.113,5.3,84.8,8.0,9.0,0.04,144,0.92,0.05,25.301,269.4,0.476,0.0
150.0,10.63,33.174,5.16,81.8,9.5,10.6,0.03,151,1.01,0.04,25.422,257.9,0.494,0.0
172.0,10.12,33.388,4.66,73.2,14.8,15.8,0.01,173,1.3,0.02,25.677,234.1,0.548,0.0
197.0,9.57,33.62,4.07,63.2,20.2,20.1,0.0,198,1.56,0.01,25.95,208.5,0.604,0.0
0.0,14.87,33.353,5.83,101.2,3.2,0.3,0.93,0,0.39,0.32,24.731,320.4,0.0,0.64
3.0,14.87,33.353,5.83,101.2,3.2,0.3,0.93,3,0.39,0.32,24.731,320.4,0.01,0.64
5.0,14.88,33.357,5.82,101.0,3.3,0.3,0.95,5,0.4,0.29,24.732,320.4,0.016,0.64
10.0,14.88,33.354,5.82,101.0,3.1,0.3,0.96,10,0.4,0.29,24.73,320.8,0.032,0.62
20.0,14.88,33.357,5.81,100.9,3.2,0.4,0.89,20,0.4,0.28,24.733,320.8,0.064,0.69
30.0,14.87,33.353,5.82,101.0,3.3,0.4,0.86,30,0.4,0.33,24.732,321.2,0.096,0.66
41.0,14.62,33.337,5.63,97.2,4.0,1.4,0.51,41,0.5,0.28,24.774,317.5,0.131,1.09
50.0,13.82,33.316,5.17,87.8,5.9,4.8,0.24,50,0.71,0.22,24.925,303.3,0.159,0.34
54.0,13.7,33.315,4.97,84.2,6.8,6.3,0.12,54,0.81,0.2,24.949,301.1,0.171,0.0
0.0,15.1,33.378,5.74,100.1,3.1,0.3,0.35,0,0.42,0.14,24.701,323.3,0.0,0.44
2.0,15.1,33.378,5.74,100.1,3.1,0.3,0.35,2,0.42,0.14,24.701,323.3,0.006,0.44
10.0,15.1,33.379,5.75,100.3,3.2,0.2,0.39,10,0.39,0.14,24.702,323.5,0.032,0.07
20.0,15.1,33.384,5.75,100.3,3.3,0.2,0.37,20,0.38,0.15,24.706,323.4,0.065,0.08
30.0,15.09,33.376,5.73,99.9,3.3,0.3,0.34,30,0.38,0.22,24.702,324.0,0.097,0.06
41.0,14.99,33.37,5.72,99.5,3.2,0.5,0.42,41,0.4,0.22,24.72,322.7,0.133,0.07
50.0,14.53,33.342,5.63,97.0,3.9,1.3,0.4,50,0.47,0.2,24.797,315.6,0.161,0.12
51.0,14.63,33.347,5.62,97.1,4.0,1.4,0.4,51,0.48,0.2,24.78,317.3,0.165,0.12
60.0,12.97,33.268,4.99,83.2,7.3,6.9,0.32,60,0.85,0.27,25.059,290.7,0.192,0.0
73.0,12.35,33.301,4.78,78.7,8.7,9.1,0.17,73,0.99,0.15,25.206,277.1,0.229,0.0
75.0,12.17,33.317,4.75,77.9,9.1,9.6,0.16,75,1.02,0.14,25.252,272.6,0.234,0.0
86.0,11.59,33.376,4.46,72.3,11.9,12.7,0.1,86,1.19,0.11,25.407,258.2,0.263,0.0
100.0,11.43,33.551,3.6,58.2,16.5,16.7,0.02,100,1.51,0.07,25.572,242.8,0.299,0.0
122.0,10.9,33.692,3.11,49.8,20.7,20.1,0.01,123,1.72,0.05,25.778,223.7,0.35,0.0
125.0,10.76,33.717,3.05,48.7,21.3,20.5,0.01,126,1.75,0.05,25.822,219.5,0.356,0.0
140.0,10.42,33.838,2.75,43.6,24.2,22.5,0.01,141,1.9,0.04,25.976,205.1,0.388,0.0
150.0,10.28,33.888,2.61,41.3,25.8,23.5,0.01,151,1.96,0.04,26.039,199.3,0.409,0.0
172.0,9.89,33.981,2.35,36.8,29.2,25.3,0.0,173,2.06,0.04,26.178,186.5,0.451,0.0
200.0,9.29,34.075,2.01,31.1,33.9,27.5,0.0,201,2.21,0.05,26.351,170.5,0.501,0.0
0.0,14.95,33.372,5.74,99.8,3.9,0.6,0.35,0,0.39,0.11,24.729,320.6,0.0,0.05
3.0,14.95,33.372,5.74,99.8,3.9,0.6,0.35,3,0.39,0.11,24.729,320.7,0.01,0.05
10.0,14.95,33.371,5.72,99.5,3.8,0.6,0.36,10,0.38,0.11,24.728,321.0,0.032,0.05
20.0,14.95,33.371,5.71,99.3,3.4,0.6,0.39,20,0.39,0.13,24.729,321.2,0.064,0.0
21.0,14.95,33.37,5.71,99.3,3.4,0.6,0.39,21,0.39,0.13,24.728,321.3,0.067,0.0
29.0,14.88,33.367,5.68,98.6,3.9,0.8,0.34,29,0.4,0.11,24.741,320.3,0.093,0.06
30.0,14.85,33.365,5.68,98.6,3.9,0.8,0.34,30,0.4,0.11,24.746,319.9,0.096,0.06
39.0,14.76,33.359,5.61,97.2,4.3,1.3,0.36,39,0.44,0.13,24.761,318.7,0.125,0.0
49.0,14.09,33.326,5.4,92.2,5.2,3.1,0.34,49,0.58,0.19,24.877,307.9,0.156,0.0
50.0,13.83,33.301,5.38,91.4,5.3,3.3,0.33,50,0.6,0.19,24.912,304.6,0.159,0.0
61.0,12.7,33.24,5.14,85.2,6.8,6.3,0.22,61,0.81,0.21,25.091,287.8,0.192,0.0
69.0,12.15,33.27,4.86,79.7,9.2,9.2,0.15,69,0.98,0.17,25.22,275.6,0.215,0.0
75.0,12.06,33.282,4.6,75.3,10.8,10.7,0.12,75,1.08,0.15,25.246,273.3,0.231,0.0
85.0,12.05,33.407,4.19,68.6,12.8,12.6,0.08,85,1.22,0.13,25.345,264.1,0.258,0.0
99.0,11.73,33.476,3.88,63.1,14.3,14.8,0.04,99,1.36,0.08,25.459,253.6,0.294,0.0
100.0,11.7,33.48,3.87,62.9,14.4,14.9,0.04,100,1.37,0.08,25.468,252.8,0.297,0.0
120.0,11.2,33.561,3.57,57.5,16.6,17.5,0.02,121,1.51,0.06,25.622,238.4,0.346,0.0
125.0,11.17,33.608,3.45,55.5,17.6,18.1,0.02,126,1.56,0.05,25.664,234.6,0.358,0.0
140.0,11.06,33.699,3.1,49.8,20.6,19.7,0.01,141,1.7,0.04,25.755,226.3,0.392,0.0
150.0,10.77,33.773,2.96,47.3,22.2,20.9,0.01,151,1.77,0.03,25.865,216.1,0.414,0.0
169.0,10.27,33.828,2.76,43.6,24.8,23.0,0.01,170,1.87,0.03,25.995,204.0,0.454,0.0
200.0,9.72,34.017,2.46,38.4,29.0,25.4,0.0,201,2.01,0.03,26.235,181.7,0.514,0.0
0.0,14.96,33.368,5.75,100.0,3.3,0.5,0.5,0,0.39,0.16,24.723,321.1,0.0,0.07
3.0,14.96,33.368,5.75,100.0,3.3,0.5,0.5,3,0.39,0.16,24.724,321.2,0.01,0.07
10.0,14.96,33.367,5.75,100.0,3.3,0.4,0.5,10,0.39,0.17,24.723,321.4,0.032,0.05
12.0,14.97,33.368,5.75,100.0,3.3,0.4,0.5,12,0.39,0.17,24.722,321.6,0.039,0.05
20.0,14.95,33.367,5.76,100.1,3.1,0.5,0.51,20,0.4,0.16,24.725,321.5,0.064,0.05
25.0,14.95,33.367,5.74,99.8,3.3,0.5,0.51,25,0.4,0.18,24.726,321.7,0.08,0.0
30.0,14.89,33.363,5.73,99.5,3.3,0.6,0.49,30,0.41,0.16,24.736,320.8,0.096,0.03
32.0,14.9,33.364,5.72,99.3,3.3,0.6,0.47,32,0.41,0.15,24.734,321.0,0.103,0.05
38.0,14.64,33.351,5.63,97.3,3.5,1.4,0.41,38,0.46,0.16,24.78,316.8,0.122,0.0
50.0,13.8,33.312,5.34,90.7,5.3,4.0,0.24,50,0.65,0.21,24.926,303.2,0.159,0.0
62.0,12.68,33.297,4.94,81.9,8.0,8.0,0.19,62,0.9,0.18,25.139,283.2,0.194,0.0
70.0,12.36,33.316,4.79,78.9,8.8,9.0,0.14,70,0.98,0.16,25.215,276.1,0.217,0.0
75.0,12.12,33.33,4.62,75.7,9.7,10.2,0.11,75,1.07,0.14,25.272,270.8,0.23,0.0
87.0,11.83,33.426,4.17,68.0,12.3,13.4,0.06,87,1.28,0.1,25.401,258.8,0.262,0.0
100.0,11.54,33.506,3.85,62.4,14.9,15.3,0.03,100,1.42,0.07,25.517,248.0,0.295,0.0
102.0,11.48,33.507,3.8,61.5,15.3,15.6,0.03,102,1.44,0.07,25.529,246.9,0.3,0.0
118.0,10.79,33.669,3.31,52.8,20.1,19.7,0.02,119,1.67,0.05,25.779,223.4,0.338,0.0
125.0,10.58,33.714,3.19,50.7,21.2,20.6,0.02,126,1.72,0.05,25.851,216.7,0.353,0.0
142.0,10.33,33.782,2.99,47.3,23.2,22.1,0.01,143,1.81,0.05,25.948,207.8,0.389,0.0
150.0,10.07,33.831,2.86,45.0,24.7,23.0,0.01,151,1.86,0.04,26.031,200.1,0.406,0.0
171.0,9.7,33.958,2.53,39.5,28.6,25.3,0.0,172,2.0,0.03,26.192,185.1,0.446,0.0
200.0,9.28,34.051,2.24,34.7,32.9,27.2,0.01,201,2.14,0.04,26.334,172.1,0.498,0.0
201.0,9.27,34.055,2.23,34.5,33.0,27.3,0.01,202,2.15,0.04,26.339,171.7,0.499,0.0
0.0,14.32,33.38,5.65,97.0,3.9,1.7,0.6,0,0.5,0.2,24.869,307.2,0.0,0.09
3.0,14.32,33.38,5.65,97.0,3.9,1.7,0.6,3,0.5,0.2,24.869,307.3,0.009,0.09
5.0,14.33,33.383,5.65,97.0,4.0,1.7,0.66,5,0.5,0.13,24.87,307.3,0.015,0.09
10.0,14.34,33.378,5.64,96.9,3.9,1.7,0.65,10,0.5,0.13,24.864,308.0,0.031,0.1
20.0,14.34,33.379,5.64,96.9,3.9,1.7,0.63,20,0.5,0.26,24.865,308.2,0.062,0.1
30.0,14.33,33.379,5.65,97.0,3.9,1.7,0.57,30,0.5,0.22,24.867,308.3,0.092,0.09
32.0,14.33,33.379,5.65,97.0,3.9,1.7,0.57,32,0.5,0.21,24.867,308.3,0.099,0.09
37.0,14.32,33.38,5.62,96.5,4.0,1.8,0.6,37,0.5,0.19,24.87,308.2,0.114,0.1
50.0,13.03,33.411,5.01,83.8,7.8,6.7,0.34,50,0.83,0.18,25.158,281.1,0.152,0.07
52.0,12.99,33.412,4.88,81.5,8.7,7.8,0.28,52,0.9,0.18,25.167,280.3,0.158,0.06
60.0,12.12,33.445,4.39,72.0,12.0,11.9,0.14,60,1.16,0.2,25.361,262.0,0.18,0.05
68.0,12.12,33.44,4.39,72.0,12.0,11.9,0.12,68,1.17,0.26,25.357,262.5,0.201,0.0
0.0,14.44,33.36,5.67,97.6,3.8,1.4,0.65,0,0.48,0.34,24.828,311.1,0.0,0.0
2.0,14.44,33.36,5.67,97.6,3.8,1.4,0.65,2,0.48,0.34,24.828,311.2,0.006,0.0
9.0,14.44,33.361,5.68,97.7,3.8,1.4,0.65,9,0.47,0.31,24.829,311.3,0.028,0.0
10.0,14.44,33.348,5.68,97.7,3.8,1.4,0.66,10,0.47,0.31,24.82,312.2,0.031,0.01
17.0,14.44,33.36,5.7,98.1,3.7,1.4,0.69,17,0.47,0.35,24.829,311.5,0.053,0.05
20.0,14.44,33.348,5.69,97.9,3.7,1.4,0.69,20,0.47,0.34,24.82,312.5,0.062,0.04
27.0,14.44,33.36,5.67,97.6,3.7,1.4,0.66,27,0.47,0.31,24.829,311.8,0.084,0.0
30.0,14.44,33.348,5.67,97.6,3.7,1.4,0.65,30,0.47,0.32,24.82,312.8,0.094,0.02
36.0,14.44,33.358,5.67,97.6,3.7,1.4,0.63,36,0.47,0.33,24.828,312.2,0.112,0.06
46.0,14.44,33.362,5.67,97.6,3.7,1.4,0.64,46,0.47,0.32,24.831,312.2,0.144,0.0
50.0,14.44,33.349,5.67,97.5,3.7,1.4,0.64,50,0.47,0.33,24.822,313.2,0.156,0.0
56.0,14.44,33.36,5.67,97.6,3.7,1.4,0.64,56,0.47,0.34,24.83,312.6,0.175,0.0
63.0,13.94,33.345,5.47,93.1,4.9,3.4,0.36,63,0.6,0.23,24.923,303.9,0.196,0.0
71.0,13.53,33.339,5.28,89.1,5.9,4.9,0.28,71,0.69,0.22,25.003,296.5,0.22,0.05
75.0,12.83,33.306,5.15,85.7,6.9,6.7,0.22,75,0.79,0.19,25.117,285.6,0.232,0.04
86.0,11.38,33.333,4.67,75.3,10.7,12.3,0.08,86,1.13,0.1,25.412,257.7,0.262,0.0
100.0,11.08,33.497,3.82,61.3,16.2,17.3,0.02,100,1.47,0.05,25.594,240.7,0.297,0.0
101.0,10.96,33.555,3.76,60.2,16.6,17.6,0.02,101,1.49,0.05,25.66,234.3,0.299,0.0
120.0,10.68,33.638,3.54,56.4,18.8,19.3,0.01,121,1.59,0.04,25.775,223.9,0.343,0.0
125.0,10.59,33.64,3.45,54.8,19.7,19.9,0.01,126,1.63,0.04,25.792,222.3,0.354,0.0
140.0,10.25,33.767,3.16,49.9,22.5,21.9,0.01,141,1.76,0.03,25.95,207.6,0.386,0.0
150.0,10.02,33.821,2.98,46.8,24.4,23.1,0.01,151,1.83,0.03,26.031,200.0,0.406,0.0
170.0,9.6,33.94,2.65,41.3,28.1,25.3,0.0,171,1.97,0.03,26.195,184.8,0.445,0.0
200.0,9.12,34.042,2.29,35.3,33.2,27.4,0.0,201,2.14,0.03,26.353,170.3,0.498,0.0
201.0,9.12,34.056,2.28,35.2,33.4,27.5,0.0,202,2.15,0.03,26.364,169.3,0.5,0.0
