depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium
40.0,11.83,32.777,6.29,102.1,4.2,2.2,0.94,40,0.52,0.29,24.896,305.6,0.125,0.03
50.0,11.69,32.795,6.24,101.0,4.8,3.1,0.87,50,0.57,0.34,24.936,302.0,0.156,0.04
60.0,11.31,32.917,5.77,92.7,4.6,4.7,0.07,60,0.7,0.08,25.1,286.6,0.185,0.03
70.0,11.25,33.108,6.1,98.0,8.3,6.9,0.37,70,0.81,0.26,25.26,271.7,0.213,0.32
75.0,11.16,33.123,5.98,95.9,8.2,7.5,0.31,75,0.84,0.22,25.288,269.1,0.226,0.25
85.0,10.22,33.085,5.48,86.1,8.1,9.5,0.08,85,0.95,0.08,25.422,256.5,0.253,0.02
100.0,9.67,33.341,4.56,70.9,16.7,18.1,0.04,100,1.46,0.08,25.714,229.0,0.289,0.01
120.0,9.07,33.593,4.18,64.2,21.3,21.3,0.01,121,1.63,0.04,26.008,201.3,0.332,0.0
125.0,9.01,33.634,4.06,62.3,22.4,22.1,0.01,126,1.67,0.04,26.049,197.5,0.342,0.0
139.0,8.81,33.753,3.71,56.7,25.1,24.0,0.0,140,1.78,0.03,26.174,185.9,0.369,0.0
150.0,8.66,33.819,3.51,53.5,26.9,25.1,0.0,151,1.84,0.03,26.249,178.9,0.389,0.0
169.0,8.45,33.926,3.15,47.8,30.1,26.8,0.01,170,1.94,0.03,26.366,168.2,0.422,0.0
199.0,8.43,34.045,2.23,33.9,36.5,30.1,0.0,200,2.25,0.04,26.463,159.6,0.471,0.0
0.0,14.21,33.08,5.9,100.9,2.4,0.0,0.34,0,0.34,0.13,24.661,327.1,0.0,0.0
2.0,14.21,33.08,5.9,100.9,2.4,0.0,0.34,2,0.34,0.13,24.661,327.1,0.007,0.0
8.0,14.2,33.075,5.9,100.9,2.3,0.0,0.34,8,0.33,0.11,24.659,327.5,0.026,0.0
10.0,14.2,33.075,5.9,100.9,2.3,0.0,0.34,10,0.33,0.12,24.659,327.5,0.033,0.0
14.0,14.22,33.079,5.9,100.9,2.2,0.0,0.34,14,0.33,0.13,24.658,327.7,0.046,0.0
20.0,14.2,33.073,5.9,100.8,2.2,0.1,0.35,20,0.32,0.11,24.658,327.9,0.066,0.0
23.0,14.21,33.078,5.9,100.9,2.2,0.1,0.35,23,0.32,0.1,24.66,327.8,0.075,0.0
30.0,14.22,33.077,5.9,100.9,2.1,0.1,0.34,30,0.32,0.1,24.657,328.3,0.098,0.0
32.0,14.23,33.084,5.9,100.9,2.1,0.1,0.34,32,0.32,0.1,24.661,328.0,0.105,0.0
38.0,14.29,33.099,5.88,100.7,2.1,0.0,0.33,38,0.32,0.11,24.66,328.3,0.125,0.0
47.0,14.24,33.091,5.89,100.8,2.0,0.0,0.35,47,0.32,0.13,24.664,328.1,0.154,0.0
50.0,14.25,33.086,5.89,100.8,2.0,0.0,0.36,50,0.31,0.1,24.658,328.7,0.164,0.0
53.0,14.2,33.08,5.9,100.8,2.0,0.0,0.37,53,0.31,0.08,24.664,328.3,0.174,0.0
62.0,14.26,33.089,5.83,99.8,1.9,0.0,0.32,62,0.32,0.11,24.659,329.0,0.203,0.0
75.0,14.01,33.05,5.91,100.6,2.0,0.1,0.33,75,0.34,0.1,24.681,327.2,0.246,0.06
77.0,13.92,33.037,5.92,100.6,2.0,0.1,0.33,77,0.35,0.1,24.69,326.5,0.253,0.07
91.0,13.54,33.115,5.8,97.8,2.2,0.9,0.17,91,0.41,0.11,24.828,313.6,0.297,0.0
100.0,13.55,33.31,5.76,97.3,2.4,1.5,0.13,100,0.45,0.1,24.977,299.7,0.325,0.0
106.0,12.68,33.118,5.73,94.9,2.7,2.0,0.11,106,0.48,0.1,25.001,297.4,0.343,0.0
122.0,11.4,33.089,5.58,89.9,4.1,4.8,0.05,123,0.65,0.05,25.219,276.8,0.389,0.04
125.0,10.96,33.04,5.52,88.1,4.8,5.8,0.04,126,0.7,0.05,25.26,272.9,0.397,0.04
142.0,10.1,33.245,5.07,79.5,9.7,11.6,0.01,143,1.03,0.03,25.568,243.8,0.441,0.04
150.0,9.84,33.319,4.78,74.6,11.6,13.7,0.01,151,1.14,0.03,25.669,234.2,0.46,0.03
171.0,10.1,33.672,4.09,64.3,16.3,18.1,0.01,172,1.38,0.02,25.902,212.7,0.507,0.01
197.0,9.3,33.845,3.79,58.6,22.0,21.8,0.01,198,1.59,0.03,26.17,187.6,0.559,0.01
0.0,14.73,33.204,5.82,100.6,2.3,0.0,0.26,0,0.33,0.09,24.646,328.4,0.0,0.0
2.0,14.73,33.204,5.82,100.6,2.3,0.0,0.26,2,0.33,0.09,24.646,328.5,0.007,0.0
10.0,14.74,33.203,5.83,100.8,2.3,0.0,0.27,10,0.32,0.08,24.644,329.0,0.033,0.0
16.0,14.73,33.204,5.83,100.8,2.2,0.0,0.28,16,0.32,0.07,24.647,328.9,0.053,0.0
20.0,14.73,33.201,5.83,100.8,2.2,0.0,0.28,20,0.32,0.07,24.645,329.2,0.066,0.0
30.0,14.73,33.199,5.83,100.8,2.1,0.0,0.28,30,0.32,0.09,24.644,329.6,0.099,0.0
45.0,14.69,33.191,5.83,100.7,2.2,0.0,0.28,45,0.32,0.09,24.646,329.8,0.148,0.01
50.0,14.71,33.192,5.84,100.9,2.1,0.0,0.28,50,0.32,0.09,24.643,330.2,0.165,0.0
55.0,14.67,33.184,5.84,100.8,2.1,0.0,0.28,55,0.32,0.09,24.646,330.1,0.181,0.0
65.0,13.91,33.059,5.91,100.4,2.4,0.4,0.27,65,0.39,0.11,24.709,324.3,0.214,0.11
